movieID	ranking
tt0033467	1
tt0052357	2
tt0062622	3
tt0031885	4
tt0046438	5
tt0056801	6
tt0068646	7
tt0018455	8
tt0049730	9
tt0047478	10
tt0078788	11
tt0045152	12
tt0040522	13
tt0015648	14
tt0075314	15
tt0053472	16
tt0024844	17
tt0019254	18
tt0060827	19
tt0019760	20
tt0042876	21
tt0054215	22
tt0060107	23
tt0053198	24
tt0081398	25
tt0071562	26
tt0021749	27
tt0053291	28
tt0072443	29
tt0053779	30
tt0052311	31
tt0056172	32
tt0043014	33
tt0060138	34
tt0048452	35
tt0034583	36
tt0053619	37
tt0083658	38
tt0017925	39
tt0057345	40
tt0047396	41
tt0118694	42
tt0048424	43
tt0028950	44
tt0046478	45
tt0057012	46
tt0041959	47
tt0072684	48
tt0062136	49
tt0166924	50
tt0027977	51
tt0079944	52
tt0083922	53
tt0053221	54
tt0071315	55
tt0022100	56
tt0048473	57
tt0053125	58
tt0053604	59
tt0017136	60
tt0050986	61
tt0037674	62
tt0059592	63
tt0110912	64
tt0064116	65
tt0055601	66
tt0047528	67
tt0099685	68
tt0065214	69
tt0071129	70
tt0090015	71
tt0057091	72
tt0050976	73
tt0046511	74
tt0058946	75
tt0015864	76
tt0066921	77
tt0035015	78
tt0053168	79
tt0041154	80
tt0100234	81
tt0055032	82
tt0038650	83
tt0081505	84
tt0073198	85
tt0075686	86
tt0065571	87
tt0073440	88
tt0090756	89
tt0058138	90
tt0047445	91
tt0049902	92
tt0056217	93
tt0073195	94
tt0072417	95
tt0087843	96
tt0015881	97
tt0060176	98
tt0054632	99
tt0035446	100
tt0084628	101
tt0068182	102
tt0070359	103
tt0032138	104
tt0070040	105
tt0052893	106
tt0046022	107
tt0031381	108
tt0111341	109
tt0056736	110
tt0078748	111
tt0006864	112
tt0073486	113
tt0083866	114
tt0209933	115
tt0013442	116
tt0056119	117
tt0244316	118
tt0044741	119
tt0076759	120
tt0040536	121
tt0015324	122
tt0079522	123
tt0101985	124
tt0029947	125
tt0028445	126
tt0056663	127
tt0069995	128
tt0042192	129
tt0063522	130
tt0038890	131
tt0038762	132
tt0042804	133
tt0032599	134
tt0021577	135
tt0069762	136
tt0097216	137
tt0060196	138
tt0038787	139
tt0033804	140
tt0020530	141
tt0071141	142
tt0031971	143
tt0058715	144
tt0091251	145
tt0023969	146
tt0073580	147
tt0023622	148
tt0037558	149
tt0069467	150
tt0071360	151
tt0077405	152
tt6677224	153
tt0038733	154
tt0036775	155
tt0056732	156
tt0058450	157
tt0047296	158
tt0245429	159
tt0077416	160
tt0189219	161
tt0040725	162
tt0469494	163
tt0059012	164
tt0068361	165
tt0107822	166
tt0478304	167
tt0054248	168
tt0024216	169
tt0021571	170
tt0085180	171
tt0043972	172
tt0039192	173
tt0056869	174
tt0088846	175
tt0018192	176
tt0015064	177
tt0061996	178
tt0072271	179
tt0120863	180
tt0032553	181
tt0052918	182
tt0064541	183
tt0032551	184
tt0092337	185
tt0115751	186
tt0048434	187
tt0039689	188
tt0067445	189
tt0069293	190
tt0045274	191
tt0096908	192
tt0082971	193
tt0109424	194
tt0050783	195
tt0116282	196
tt0338013	197
tt0075860	198
tt0038823	199
tt0036112	200
tt0061395	201
tt0062229	202
tt0023649	203
tt0073800	204
tt0073650	205
tt0067411	206
tt0058006	207
tt0070047	208
tt0105695	209
tt0010323	210
tt0040724	211
tt0118715	212
tt0071381	213
tt0089881	214
tt0051036	215
tt0387898	216
tt0061722	217
tt0093191	218
tt0066214	219
tt0051790	220
tt0381668	221
tt0045061	222
tt0108052	223
tt0036868	224
tt0031762	225
tt0052080	226
tt0096283	227
tt0050825	228
tt0054130	229
tt0045537	230
tt0127354	231
tt0107048	232
tt0042619	233
tt0041546	234
tt0013427	235
tt0040897	236
tt0063350	237
tt0024803	238
tt0055852	239
tt0039417	240
tt0087884	241
tt0034240	242
tt0061418	243
tt0084787	244
tt0072962	245
tt0047136	246
tt0037059	247
tt0018806	248
tt0063555	249
tt0060304	250
tt0037824	251
tt0175880	252
tt0046487	253
tt0022458	254
tt0033045	255
tt1588895	256
tt0048757	257
tt0033870	258
tt0063291	259
tt0045112	260
tt0064612	261
tt0062952	262
tt0096257	263
tt0022913	264
tt0057643	265
tt0036506	266
tt0095765	267
tt0074486	268
tt0038348	269
tt0070379	270
tt0095037	271
tt0032156	272
tt0111495	273
tt0042593	274
tt0009968	275
tt0036154	276
tt0073152	277
tt0087644	278
tt0317248	279
tt0050613	280
tt0120663	281
tt0054167	282
tt0080684	283
tt0108394	284
tt2076220	285
tt0072890	286
tt0046268	287
tt0056444	288
tt0018737	289
tt0088763	290
tt0133093	291
tt0060959	292
tt0051792	293
tt0114787	294
tt0039631	295
tt0086541	296
tt0093342	297
tt0097123	298
tt0065867	299
tt0067961	300
tt0076263	301
tt0038355	302
tt0088258	303
tt0004972	304
tt0070820	305
tt0012349	306
tt0058003	307
tt0062352	308
tt0067328	309
tt0077402	310
tt0053459	311
tt0091830	312
tt0185125	313
tt0062480	314
tt0029583	315
tt0088184	316
tt0029192	317
tt0067185	318
tt0052572	319
tt0055614	320
tt0048261	321
tt1316540	322
tt0389448	323
tt0091670	324
tt0113277	325
tt0102926	326
tt0080196	327
tt0032904	328
tt0025316	329
tt0026138	330
tt0074102	331
tt0118845	332
tt0107157	333
tt0105438	334
tt1527186	335
tt0064665	336
tt0105236	337
tt0055018	338
tt0074749	339
tt1832382	340
tt0101258	341
tt0068327	342
tt0090185	343
tt0336693	344
tt0036695	345
tt0064451	346
tt0090605	347
tt0276919	348
tt0041719	349
tt0064040	350
tt1392190	351
tt0063678	352
tt0086879	353
tt0074285	354
tt0045034	355
tt0056592	356
tt0076786	357
tt0023634	358
tt0074811	359
tt0388795	360
tt0058604	361
tt0033729	362
tt4048272	363
tt0080678	364
tt0048308	365
tt0910970	366
tt0335266	367
tt0044706	368
tt0034978	369
tt0249241	370
tt0070849	371
tt0062873	372
tt0247380	373
tt0287467	374
tt0058329	375
tt0258885	376
tt0055399	377
tt0047811	378
tt0116922	379
tt0041931	380
tt0049966	381
tt0120265	382
tt0058625	383
tt0087433	384
tt0023037	385
tt0057336	386
tt0111845	387
tt0035169	388
tt0074084	389
tt0318034	390
tt0190332	391
tt0057565	392
tt0054599	393
tt0085794	394
tt0063850	395
tt0025456	396
tt1149362	397
tt0057654	398
tt1441395	399
tt0066491	400
tt0000417	401
tt0037800	402
tt0101765	403
tt0050706	404
tt0045361	405
tt0074958	406
tt0086022	407
tt0027478	408
tt0363589	409
tt0028597	410
tt0086650	411
tt0070334	412
tt0050212	413
tt0061589	414
tt0018217	415
tt0077651	416
tt0080855	417
tt0064115	418
tt0112817	419
tt0050105	420
tt0055630	421
tt0052218	422
tt0118749	423
tt0054997	424
tt0083946	425
tt0456149	426
tt0137523	427
tt0056111	428
tt0054389	429
tt0065724	430
tt0058642	431
tt0096288	432
tt0477348	433
tt0272338	434
tt0101640	435
tt0154420	436
tt0077138	437
tt0089960	438
tt0047522	439
tt0079470	440
tt0059646	441
tt0050634	442
tt0094964	443
tt0110057	444
tt0071411	445
tt0088247	446
tt0114323	447
tt0094336	448
tt0070460	449
tt0067893	450
tt0077729	451
tt0092843	452
tt0107653	453
tt0156587	454
tt0364569	455
tt0032455	456
tt0070644	457
tt1602620	458
tt0032910	459
tt0025746	460
tt1065073	461
tt0066904	462
tt0079672	463
tt0055471	464
tt0042477	465
tt0057935	466
tt0047469	467
tt0054073	468
tt0046998	469
tt0064276	470
tt0060802	471
tt0018742	472
tt0111161	473
tt0078754	474
tt0053270	475
tt0050870	476
tt0117214	477
tt0246135	478
tt0022080	479
tt0061465	480
tt0063084	481
tt0055093	482
tt0063759	483
tt0034587	484
tt1560747	485
tt0212720	486
tt0074119	487
tt2375605	488
tt0021884	489
tt0043809	490
tt0427312	491
tt0109830	492
tt0019585	493
tt0044079	494
tt0073166	495
tt0073076	496
tt0101410	497
tt0046303	498
tt0040525	499
tt0037008	500
tt0114369	501
tt0405094	502
tt0031725	503
tt0054745	504
tt0095016	505
tt0082694	506
tt0025913	507
tt0057358	508
tt0457430	509
tt0037382	510
tt0084805	511
tt0108122	512
tt0084345	513
tt0114709	514
tt0059742	515
tt0209463	516
tt0085809	517
tt0106332	518
tt0050083	519
tt0006206	520
tt0036342	521
tt0062138	522
tt0058898	523
tt0211915	524
tt0040866	525
tt0107756	526
tt0091167	527
tt0026778	528
tt0120263	529
tt0460480	530
tt0460829	531
tt0029850	532
tt0064118	533
tt0016847	534
tt1285016	535
tt0265666	536
tt0060675	537
